Lugar de residencia (capitales);Mes de la defunción;Sexo;Total
Castellón;Enero;Hombres;74
Castellón;Enero;Mujeres;67
Castellón;Febrero;Total;114
Castellón;Febrero;Hombres;69
Castellón;Febrero;Mujeres;45
Castellón;Marzo;Total;165
Castellón;Marzo;Hombres;86
Castellón;Marzo;Mujeres;79
Castellón;Abril;Total;141
Castellón;Abril;Hombres;65
Castellón;Abril;Mujeres;76
Castellón;Mayo;Total;123
Castellón;Mayo;Hombres;58
Castellón;Mayo;Mujeres;65
Castellón;Junio;Total;102
Castellón;Junio;Hombres;51
Castellón;Junio;Mujeres;51
Castellón;Julio;Total;122
Castellón;Julio;Hombres;57
Castellón;Julio;Mujeres;65
Castellón;Agosto;Total;114
Castellón;Agosto;Hombres;59
Castellón;Agosto;Mujeres;55
Castellón;Septiembre;Total;118
Castellón;Septiembre;Hombres;58
Castellón;Septiembre;Mujeres;60
Castellón;Octubre;Total;120
Castellón;Octubre;Hombres;62
Castellón;Octubre;Mujeres;58
Castellón;Noviembre;Total;121
Castellón;Noviembre;Hombres;71
Castellón;Noviembre;Mujeres;50
Castellón;Diciembre;Total;146
Castellón;Diciembre;Hombres;66
Castellón;Diciembre;Mujeres;80
Ciudad Real;Total;Total;845
Ciudad Real;Total;Hombres;417
Ciudad Real;Total;Mujeres;428
Ciudad Real;Enero;Total;61
Ciudad Real;Enero;Hombres;33
Ciudad Real;Enero;Mujeres;28
Ciudad Real;Febrero;Total;49
Ciudad Real;Febrero;Hombres;27
Ciudad Real;Febrero;Mujeres;22
Ciudad Real;Marzo;Total;118
Ciudad Real;Marzo;Hombres;53
Ciudad Real;Marzo;Mujeres;65
Ciudad Real;Abril;Total;156
Ciudad Real;Abril;Hombres;66
Ciudad Real;Abril;Mujeres;90
Ciudad Real;Mayo;Total;60
Ciudad Real;Mayo;Hombres;35
Ciudad Real;Mayo;Mujeres;25
Ciudad Real;Junio;Total;50
Ciudad Real;Junio;Hombres;28
Ciudad Real;Junio;Mujeres;22
Ciudad Real;Julio;Total;58
Ciudad Real;Julio;Hombres;25
Ciudad Real;Julio;Mujeres;33
Ciudad Real;Agosto;Total;51
Ciudad Real;Agosto;Hombres;31
Ciudad Real;Agosto;Mujeres;20
Ciudad Real;Septiembre;Total;58
Ciudad Real;Septiembre;Hombres;23
Ciudad Real;Septiembre;Mujeres;35
Ciudad Real;Octubre;Total;72
Ciudad Real;Octubre;Hombres;34
Ciudad Real;Octubre;Mujeres;38
Ciudad Real;Noviembre;Total;54
Ciudad Real;Noviembre;Hombres;22
Ciudad Real;Noviembre;Mujeres;32
Ciudad Real;Diciembre;Total;58
Ciudad Real;Diciembre;Hombres;40
Ciudad Real;Diciembre;Mujeres;18
Córdoba;Total;Total;3.068
Córdoba;Total;Hombres;1.454
Córdoba;Total;Mujeres;1.614
Córdoba;Enero;Total;289
Córdoba;Enero;Hombres;134
Córdoba;Enero;Mujeres;155
Córdoba;Febrero;Total;249
Córdoba;Febrero;Hombres;114
Córdoba;Febrero;Mujeres;135
Córdoba;Marzo;Total;273
Córdoba;Marzo;Hombres;116
Córdoba;Marzo;Mujeres;157
Córdoba;Abril;Total;245
Córdoba;Abril;Hombres;116
Córdoba;Abril;Mujeres;129
Córdoba;Mayo;Total;248
Córdoba;Mayo;Hombres;101
Córdoba;Mayo;Mujeres;147
Córdoba;Junio;Total;226
Córdoba;Junio;Hombres;122
Córdoba;Junio;Mujeres;104
Córdoba;Julio;Total;235
Córdoba;Julio;Hombres;120
Córdoba;Julio;Mujeres;115
Córdoba;Agosto;Total;233
Córdoba;Agosto;Hombres;94
Córdoba;Agosto;Mujeres;139
Córdoba;Septiembre;Total;226
Córdoba;Septiembre;Hombres;112
Córdoba;Septiembre;Mujeres;114
Córdoba;Octubre;Total;289
Córdoba;Octubre;Hombres;156
Córdoba;Octubre;Mujeres;133
Córdoba;Noviembre;Total;272
Córdoba;Noviembre;Hombres;138
Córdoba;Noviembre;Mujeres;134
Córdoba;Diciembre;Total;283
Córdoba;Diciembre;Hombres;131
Córdoba;Diciembre;Mujeres;152
La Coruña;Total;Total;2.651
La Coruña;Total;Hombres;1.285
La Coruña;Total;Mujeres;1.366
La Coruña;Enero;Total;264
La Coruña;Enero;Hombres;123
La Coruña;Enero;Mujeres;141
La Coruña;Febrero;Total;223
La Coruña;Febrero;Hombres;99
La Coruña;Febrero;Mujeres;124
La Coruña;Marzo;Total;253
La Coruña;Marzo;Hombres;131
La Coruña;Marzo;Mujeres;122
La Coruña;Abril;Total;299
La Coruña;Abril;Hombres;142
La Coruña;Abril;Mujeres;157
La Coruña;Mayo;Total;213
La Coruña;Mayo;Hombres;110
La Coruña;Mayo;Mujeres;103
La Coruña;Junio;Total;158
La Coruña;Junio;Hombres;73
La Coruña;Junio;Mujeres;85
La Coruña;Julio;Total;184
La Coruña;Julio;Hombres;90
La Coruña;Julio;Mujeres;94
La Coruña;Agosto;Total;209
La Coruña;Agosto;Hombres;101
La Coruña;Agosto;Mujeres;108
La Coruña;Septiembre;Total;202
La Coruña;Septiembre;Hombres;101
La Coruña;Septiembre;Mujeres;101
La Coruña;Octubre;Total;221
La Coruña;Octubre;Hombres;102
La Coruña;Octubre;Mujeres;119
La Coruña;Noviembre;Total;199
La Coruña;Noviembre;Hombres;98
La Coruña;Noviembre;Mujeres;101
La Coruña;Diciembre;Total;226
La Coruña;Diciembre;Hombres;115
La Coruña;Diciembre;Mujeres;111
Cuenca;Total;Total;728
Cuenca;Total;Hombres;388
Cuenca;Total;Mujeres;340
Cuenca;Enero;Total;46
Cuenca;Enero;Hombres;23
